p,q,AIC
12,12,1386.149755483246
12,13,1385.5150771366104
12,14,1386.9008541349426
12,15,1388.8406451521078
12,16,1390.3272942125861
12,17,1392.264237089535
13,12,1384.5590549018561
13,13,1385.122925960559
13,14,1386.8938035026
13,15,1388.7640325021794
13,16,1391.9479657131444
13,17,1392.2799466945407
14,12,1387.8483534783654
14,13,1387.3566536700064
14,14,1388.8936051635162
14,15,1390.7783120137428
14,16,1392.972772641267
14,17,1395.3787199936573
15,12,1388.4212009104538
15,13,1389.2964659000863
15,14,1390.7305087632078
15,15,1392.8520209033281
15,16,1395.098172901279
15,17,1396.2186456894422
16,12,1389.874086008972
16,13,1390.8276049178644
16,14,1392.6896065456278
16,15,1394.7249132298866
16,16,1397.1482021574361
16,17,1398.2841615026489
17,12,1389.5692167506047
17,13,1390.8060447770404
17,14,1392.4908571287633
17,15,1394.8379187245903
17,16,1396.7498627888713
17,17,1399.3031511457455
12,10,1437.178209604507
12,11,1419.07151691627
13,10,1444.1282941659383
13,11,1415.1500036260752
14,10,1429.075409798069
14,11,1413.6133605048826
15,10,1427.0290153510468
15,11,1418.5183050980177
16,10,1428.1041827017584
16,11,1418.9550541785516
8,10,1478.4903989030986
8,11,1415.8258837285905
8,12,1378.4677271987618
8,13,1380.1524589387373
8,14,1382.305951688359
8,15,1384.521962727747
8,16,1385.8792913627194
9,10,1471.137796938507
9,11,1405.2212466848912
9,12,1378.7864854357556
9,13,1381.7463489003067
9,14,1382.5758387213336
9,15,1384.5281425156031
9,16,1386.4319684915693
10,10,1495.4065497484844
10,11,1411.8263950127223
10,12,1380.6211063274595
10,13,1381.6629004187193
10,14,1383.5321923622837
10,15,1385.4474263720813
10,16,1387.1110839008775
11,10,1405.631986325017
11,11,1406.364914242799
11,12,1382.4833527700255
11,13,1383.8227458640927
11,14,1384.73365873732
11,15,1386.4171493072126
11,16,1387.9745412419597
8,17,1388.0183536225254
9,17,1388.945126531608
10,17,1389.0437129066618
11,17,1389.7159603427035
6,10,1497.5344557622768
6,11,1449.0780784692308
6,12,1375.942622502207
6,13,1377.5221237026303
6,14,1378.9742207351856
6,15,1381.4888997746107
6,16,1382.640597548476
6,17,1384.3137319980356
7,10,1546.4438020103696
7,11,1420.1617654664815
7,12,1376.4595793206606
7,13,1378.1486796924903
7,14,1380.5323081136305
7,15,1382.7256505401524
7,16,1384.333531025854
7,17,1386.3667119871495
8,10,1478.4903989030986
8,11,1415.8258837285905
8,12,1378.4677271987618
8,13,1380.1524589387373
8,14,1382.305951688359
8,15,1384.521962727747
8,16,1385.8792913627194
8,17,1388.0183536225254
2,10,1552.7195209384645
2,11,1451.9680048635287
2,12,1374.4930635003877
2,13,1375.156046502
2,14,1376.6336635433652
2,15,1374.6209289634921
2,16,1375.9650754134357
2,17,1377.6714533380207
3,10,1552.0623690685193
3,11,1435.0702613484227
3,12,1372.2524267237013
3,13,1372.8730211579154
3,14,1374.0059992042613
3,15,1376.3703456954474
3,16,1377.7083332137222
3,17,1379.5094044935017
4,10,1542.2775584076155
4,11,1430.7413289042877
4,12,1373.4136239901386
4,13,1374.118051844699
4,14,1375.0815279093479
4,15,1377.6124801199499
4,16,1379.4552406749244
4,17,1381.03571909497
5,10,1526.9210690855148
5,11,1443.8769165120018
5,12,1374.3444564742897
5,13,1375.4319196086317
5,14,1377.0408600503865
5,15,1379.6772123258652
5,16,1380.8950275261536
5,17,1382.3484025806426
6,10,1497.5344557622768
6,11,1449.0780784692308
6,12,1375.942622502207
6,13,1377.5221237026303
6,14,1378.9742207351856
6,15,1381.4888997746107
6,16,1382.640597548476
6,17,1384.3137319980356
0,10,1622.726473345946
0,11,1599.5782558951423
0,12,1370.924382974263
0,13,1372.7768523911463
0,14,1374.440877112027
0,15,1370.8057965209173
0,16,1372.5235049900543
0,17,1374.4949956797102
1,10,1624.203492817534
1,11,1503.081289870183
1,12,1372.686044503483
1,13,1373.7595406046005
1,14,1375.2555648291286
1,15,1372.5974937313972
1,16,1373.5915299075373
1,17,1374.9667226281185
2,10,1552.7195209384645
2,11,1451.9680048635287
2,12,1374.4930635003877
2,13,1375.156046502
2,14,1376.6336635433652
2,15,1374.6209289634921
2,16,1375.9650754134357
2,17,1377.6714533380207
0,5,1651.9120773931331
0,6,1635.9724965391865
0,7,1630.5901725171784
0,8,1630.7380033763638
0,9,1621.7889117102854
0,10,1622.726473345946
1,5,1627.5564812265038
1,6,1630.493395790702
1,7,1631.9214668740933
1,8,1593.0124258047867
1,9,1623.4461712330433
1,10,1624.203492817534
2,5,1601.1129291283341
2,6,1621.7428787190986
2,7,1633.0839821302675
2,8,1559.094558587583
2,9,1555.965107509441
2,10,1552.7195209384645
16,5,1479.5461033675429
16,6,1480.9751566738626
16,7,1469.1420883867177
16,8,1460.4137358938156
16,9,1450.3948444970579
16,10,1428.1041827017584
17,5,1496.6127274655767
17,6,1471.023787937697
17,7,1469.2230643010907
17,8,1464.6147115895374
17,9,1450.4590329259859
17,10,1436.9882308910067
10,6,1541.3598413811264
