p,d,q,P,D,Q,s,AIC
0,0,0,0,1,0,12,1653.6710650813047
0,0,0,0,1,1,12,1443.5933641175748
0,0,0,0,1,2,12,1445.5858681816667
0,0,0,0,1,3,12,1443.5046486930705
0,0,0,0,1,4,12,1445.4876160065296
0,0,0,1,1,0,12,1526.6390747007622
0,0,0,1,1,1,12,1445.5874430840317
0,0,0,1,1,2,12,1445.1467855295289
0,0,0,1,1,3,12,1445.2761261717749
0,0,0,1,1,4,12,1446.56896129825
0,0,0,2,1,0,12,1464.1400502702468
0,0,0,2,1,1,12,1444.110845301806
0,0,0,2,1,2,12,1445.920682287981
0,0,0,2,1,3,12,1446.3837838663976
0,0,0,2,1,4,12,1447.7999875463356
0,0,0,3,1,0,12,1454.1287421213299
0,0,0,3,1,1,12,1446.070360948445
0,0,0,3,1,2,12,1446.989869793793
0,0,0,3,1,3,12,1447.780088787008
0,0,0,3,1,4,12,1449.2145709622591
0,0,0,4,1,0,12,1448.2366123305535
0,0,0,4,1,1,12,1446.6985652988965
0,0,0,4,1,2,12,1445.945951298871
0,0,0,4,1,3,12,1445.703823120819
0,0,0,4,1,4,12,1445.7448183735353
